id,77ae5656e1b3992e8fbea4290e0b5b63,510e38e2ac64f3d36b3629eb9fcbb5f1,6d213e72169e53e08a512889e76f5a2b,076d60d6c268c2ef2320425f343234f7,1455f186d12ad849ef19e9496582e375,3103aaf2a3628d77f7a21308adf849a6,9acc4eb917299988d4d91c17db2d57aa,3a3a4c004552cd5c39a1d15896d158ea,57723724d44f911a548f4eccbcb22e70
id,รหัสเกษตร,รหัสแปลง,หมู่บ้าน,ลำดับแปลง,รายการแปลง,"ชนิดกาแฟ GI,Non-GI",รายละเอียดแปลง,มาตราฐานฟาร์ม,เจ้าหน้าที่ส่งเสริม
08e23aad9a626843ea29dd540d101a60,3270098,3270098-P01255-ปางพระราชทาน,ปางพระราชทาน,1,3270098-P01255-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
45938788e13d94428296317859d965b8,3270180,3270180-P01256-นวุติไซต์2,นวุติไซต์2,1,"3270180-P01256-นวุติไซต์2-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: นวุติ , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 4660",ไม่ใช่,ไม่ระบุ
dce25bcce3e4398940b10ff4c0c8e31f,3270189,3270189-P01257-ปางพระราชทาน,ปางพระราชทาน,1,3270189-P01257-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 266",ไม่ใช่,ไม่ระบุ
d8b7dd0c9fd9eb7382f005f10be5b5f7,4020413,4020413-P01258-ห้วยไร่สามัคคี,ห้วยไร่สามัคคี,1,"4020413-P01258-ห้วยไร่สามัคคี-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: นสร.2 , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 800",ไม่ใช่,ไม่ระบุ
df4a4f6a05c6ad0c7ce21ce50a30d76e,5010753,5010753-P01259-สี่พันไร่,สี่พันไร่,1,5010753-P01259-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
09ecd89f545ce6ff4f084bba5eb4c00d,5010794,5010794-P01260-สี่พันไร่,สี่พันไร่,1,5010794-P01260-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
679b607284d3ac0b22d280c38b67771a,5010797,5010797-P01261-ปางพระราชทาน,ปางพระราชทาน,1,5010797-P01261-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 931",ไม่ใช่,ไม่ระบุ
373bbb504246a37347b01b35c0ce8011,5010902,5010902-P01262-สี่พันไร่,สี่พันไร่,1,5010902-P01262-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
d5fbd032c099cf4e6bf8f0f3987f41f7,5010975,5010975-P01263-สี่พันไร่,สี่พันไร่,1,5010975-P01263-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 600",ไม่ใช่,ไม่ระบุ
83ceababb136d85631af9420f55cc9f4,5011008,5011008-P01264-สี่พันไร่,สี่พันไร่,1,5011008-P01264-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
1d71a5c6fcdf097d6e4068ed358dd04e,5011070,5011070-P01265-สี่พันไร่,สี่พันไร่,1,5011070-P01265-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
d2f26d442f5a509364ff0f6ddad44907,5011271,5011271-P01266-สี่พันไร่,สี่พันไร่,1,5011271-P01266-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
e922a30d896686e3d538fcf3aee15986,5011304,5011304-P01267-สี่พันไร่,สี่พันไร่,1,5011304-P01267-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
90174019bd3c33eca721ec91cc29cf07,5011311,5011311-P01268-สี่พันไร่,สี่พันไร่,1,5011311-P01268-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 399",ไม่ใช่,ไม่ระบุ
a0cad672cf7a35216375f6bf8aa20d18,5011384,5011384-P01269-สี่พันไร่,สี่พันไร่,1,5011384-P01269-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 800",ไม่ใช่,ไม่ระบุ
9d0a129f89c9d385ba3fe238851ac15b,5011885,5011885-P01270-สี่พันไร่,สี่พันไร่,1,5011885-P01270-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
cd607ddda8cc8ab344a48ea3ec9e858d,5011893,5011893-P01271-สี่พันไร่,สี่พันไร่,1,5011893-P01271-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
